"id","article_id","lieu_id"
"0a56e635-6c01-478b-a724-95c5db82f431","1690-10_291","12254b36-7dfe-4cb2-a3e2-08852e55013f"
"0a7247e5-8b99-4d8e-b068-4c6e0751f66f","1687-03b_304","b5416035-1660-4130-99ee-3bf52336ba1e"
"0a77cafe-d90e-4cfa-a1f8-6fc1939eb4ef","1678-03e_485","2c120075-18c7-41e2-a7af-edea41063117"
"0a90092c-79b7-4b43-93d5-bc3d9b4905e9","1686-09b_102","8757d2f5-aea0-4e89-9627-aea0f5c8ad03"
"0a96fad5-973a-4138-918a-870fa45e71e6","1702-02a_312","9328d155-78e2-41db-87e6-5cc8d7cf4e10"
"0aa8988a-a82c-4382-89aa-7c7e286dad13","1685-11_099","2ec85621-2088-40e1-a474-50fc6926c8fa"
"0ab49463-b0f1-437e-9b6e-d0ee153473a5","1701-09_369","c84022d7-21d3-4d38-80f2-18a600394a2b"
"0abc1f66-4f5c-4ba8-85e2-6f0dcd060944","1681-08_80","dd94928b-41d7-4d4a-9d27-6ae105e58fc2"
"0ac28610-de0d-47bc-b17b-a70629d0bfb9","1691-05_242","5162dbe8-a86d-441a-b7ad-bc6fea6a2ac3"
"0acd2ea3-3d45-4492-b89c-9c7d3833448f","1678-09_008","1c358c78-0d3a-4830-87d3-e5365109db38"
"0ad26f7e-03b6-4a94-a06b-2276322b4887","1678-06_367","e3a01e1c-1fe5-4fdd-a0c1-b97e3ac7a218"
"0ad30fe7-5466-46e2-8984-0a7c39025483","1682-09a_051","0e3be971-1376-4445-a510-9a9ab8e53d95"
"0adf5ca2-5b91-4f31-b80c-8565cf32aff9","1707-06_192","37cb0d51-64d8-46bd-a97c-e79d241b67d6"
"0b081a26-4e05-4beb-8bf0-e6c2c7c9de82","1704-08_18","9a568525-0169-4695-8f4f-2aa8b3db1562"
"0b145300-910c-4a4a-8381-4b80cd93f26d","1691-01_237","28545833-da10-4f68-80ed-585380b71151"
