"id","status","sort","user_created","date_created","user_updated","date_updated","article_id","mot_clef_id"
"01f450d9-7695-4b64-be46-2464f4e3ed18","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:03.937Z",,,"1709-04_351","2d573f6b-7b9c-4a50-98d3-c61cb983c756"
"020539ee-1a87-43d5-9f46-446824aac7c3","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:00:54.914Z",,,"1704-09_31","ba9bf4a4-8037-4326-a496-668b014c634e"
"0210a0e8-034a-47f1-bd52-3f5d4b6779b2","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:40.282Z",,,"1709-03_39","2574180f-ce8b-4814-9ba3-fc925edd1156"
"021a9382-8177-4161-ab9d-e01f4c143e79","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:14.579Z",,,"1701-06_148","e047af49-db06-4fd0-903e-f1b814c63fd4"
"0220c3c0-79da-464e-9ec0-4df5add88d48","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:26.577Z",,,"1707-10a_251","8810d58e-f070-4221-98a3-e352c9819469"
"02285f2f-a7c6-4e7c-a65b-5d2acbc66405","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:49.690Z",,,"1709-12_42","7d78a596-0469-48c1-bfcb-f96418f79914"
"0229e402-0220-4183-8fd3-4b605bac0cdd","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:53.577Z",,,"1708-09_273","fbf316a2-38eb-4f9f-8a56-77476b0ef438"
"022b67ba-ad82-48af-98bf-cbe118e69762","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:04:19.730Z",,,"1704-10_206","a07ba696-5d08-410d-9f5c-353a526da0aa"
"02308ec3-10db-4caa-9510-1273f0e88b5f","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:02:29.803Z",,,"1706-05_319","df1dac16-49b8-4a82-8d1b-2ab29ffd9ce5"
"023bf809-4134-4a55-8e14-3034369d423f","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:42.938Z",,,"1706-01_194","2fd5a53f-14cc-4980-9a69-5d8ed9aed138"
"0240df5c-8c1f-4054-926e-8c5c652ce5b1","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:28.573Z",,,"1705-08_56","c40dddb2-1f80-45d5-9503-2863a5c20507"
"024f8c92-ad57-4ccf-ab1f-6884e93fdbd4","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:10.117Z",,,"1707-10c_103b","265ee4dc-ad54-4b6d-8c16-2e0d4e878b65"
"025321af-aa15-47aa-9e29-b02f63dbb034","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:07.080Z",,,"1710-05_225","fd66d3ec-dc8c-4114-87a1-1d50708a4fa8"
"02686a31-2309-4311-a305-f83f1457db6f","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:20.338Z",,,"1708-02_294","e79ee383-d016-412a-9e15-a11f33f26084"
"0269436e-b457-4475-9594-887e1a8d8b62","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:45:52.854Z",,,"1702-06a_12","b20d18fc-d2cb-4f3f-b658-d679c93c192f"
"0281275d-f81e-4523-be88-000bc22e30e8","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:43:00.487Z",,,"1707-11-12_673","c24d2504-ecde-48c4-a12a-01eef504a518"
"02888665-0a95-448c-8731-c5ed0f3ce3d3","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:35.573Z",,,"1707-03_19","561b093b-20ed-42c7-bfe4-fca356c28e60"
"028dfc60-f41c-4070-b645-4c6762867375","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:42:46.338Z",,,"1710-01_270","ae40846d-9bb8-4027-8e64-c4ed88c72905"
"029d6fb7-4f3a-404e-9e78-611314cd6424","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T13:44:47.138Z",,,"1707-05_18","21d06b82-ee92-403d-8fef-9a4dac742573"
"02af1bb9-3d8e-40b1-880e-54fb7cea34f5","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:23.680Z",,,"1708-08_248","10065bf4-948e-47aa-a1b4-30ec3bed6a19"
"02b4709e-5062-4d6f-b2a1-0888234345d1","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:03:25.952Z",,,"1709-06_214","561b093b-20ed-42c7-bfe4-fca356c28e60"
"02bf2d56-343f-4430-b3ec-f4691650f8f2","draft",,"5064230e-5ca1-4d3a-a9ef-0f94ef4c737d","2023-01-10T11:01:52.644Z",,,"1701-07_295","0cc9fcd6-ca68-4684-94c8-2dad5f1ef2f5"
