"id","article_id","personne_id"
"364bf3cb-3391-4d18-9894-258e676a9b7e","1678-01_291","b5a77132-75cc-495a-80bf-3a1e553eed79"
"d57fa5a7-1afd-4a26-aba6-110797255696","1678-01_291","101ca6cd-49af-4a3e-948e-287c815f9684"
"fb0fb74e-0e15-48ab-bce6-561a5f3e5536","1678-02_007","d977b8db-1136-46d8-90d0-30b600735cfe"
"fffeab6e-1c5d-423e-8413-f6bac134472c","1678-02_007","cc833d78-ceb3-419c-a9ec-8b633a402169"
"5279aee8-8cec-455b-81b0-8be321a4b30a","1678-02_191","9efbf8e5-c5e4-4625-8a33-25b44b6e7b37"
"08954d53-56a6-4490-ba68-64679eb35039","1678-02_215","0db7068b-7568-4432-8ce4-12a69aa270f6"
"5370d410-ad05-44b1-ba3e-ba9df23dc6a3","1678-02_215","f886dd67-4f66-45d5-9019-f66d997783c1"
"65c1671c-de16-49ab-859b-90681a80c193","1678-02_215","bb90ffd5-cc5e-47fd-9143-86ca9543ee1c"
"c93df0c2-1a74-49ae-a474-1968622068fc","1678-02_215","1cfb022b-6321-4bd2-85c7-d76bda614c2c"
"f5cd55da-9fce-4a1f-a49e-49b7ee6f7e8e","1678-02_215","187db5cb-5225-4885-943e-dddc38c3f085"
"fe202354-0f6a-44bb-819e-1f2a58b4a471","1678-02_215","01054eb4-5717-4acd-8d65-a7ab68ca6e36"
"15789013-6707-4fd0-ab14-efe0f8152b50","1678-03_015","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"58bc0b35-6074-434b-9105-7dec5568aa8a","1678-03_040","8a2b27be-d754-4ec4-b27e-5f6d3727b53b"
"32bc94b2-7499-4f8e-9282-374c907a4494","1678-03_043","97ce13d1-c8e9-45e1-b153-dbe192f63378"
"3da3aa4c-e5b2-4003-985a-4fd2a181b3e1","1678-03_043","462c1bc4-683f-4182-8bd7-9c42714221a7"
"c75025ad-6824-4d4b-8296-62f135cb435d","1678-03_043","f8885e89-bd5d-49b1-88d8-eb294efcd56e"
"15ef6995-bf9b-4544-ac8c-a6e40a58a1bd","1678-03_111","76ac02a5-43ce-4e1f-b7df-eb5867ed684e"
"189101e9-b808-41c0-af29-0b5d764160bc","1678-03_111","f913906c-ce44-45dc-8a54-f0f5582e383a"
"d44591da-c89a-4f31-b3e5-9baa2b2d8074","1678-03_111","0c1e7ea6-dea5-4797-b276-ca61891c0cba"
"089ae45c-774f-4164-957a-1ba7383fe9c1","1678-03_134","8ee4cab0-7bae-44d6-95fb-4a009c08cdfe"
"ad537836-19a6-4afe-8223-9fa3e0b23cc6","1678-03_134","3cdf7f92-ea49-4217-8c7e-354370630d76"
"bd17083b-727d-429a-9c93-0665cef608ea","1678-03_134","d7b4ba1b-bfe1-4c7b-8b61-50565809cc90"
"fb284523-f039-41ff-81c8-40f8037df6e1","1678-03_134","b971a3a6-5218-4e7d-937c-d00429b7f22f"
"a697c227-8f82-478f-b840-34b646aa6493","1678-03_198","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"01aae26d-ac99-4611-9c62-40e0ee9f7ccb","1678-03e_485","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"ae38fb74-4ec7-44dd-a560-af45c024a679","1678-04_254","293bec80-ead3-4b6c-88b3-35b34b26ffc1"
"c987a7b7-a40a-46c0-a9a7-de6a7a22bd92","1678-04_254","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"dac06709-f866-469b-bc53-c96c3f1f9eea","1678-05_012","82556577-b599-42cd-ab44-771659731e90"
"0c05b90c-d28d-49dd-b776-e244d28a0ef0","1678-05_087","184da222-2136-4aee-8837-246cf6a70c6a"
"8be28396-bbdf-42a0-8bbb-f6f68abd8d17","1678-05_087","1480e2ab-f3d6-4915-a0c0-9a5b55fd56b6"
"2b240e19-5608-4fb2-8c09-f253f4205d73","1678-05_101","de4979f9-6cd0-4781-b6d1-74adf63b50c5"
"3f4c00d1-ad09-45eb-8198-ab36ce743da3","1678-05_101","281f3f0b-77bc-48d0-b97a-339f7515bcd7"
"3fbf57c7-1778-441a-a3db-08d22dab76a3","1678-05_101","d0ef7f31-8efc-4beb-bd1e-da28636587ca"
"74e8d2d3-1be9-44e2-8483-d67b73239272","1678-05_101","66b5e51c-780a-4d62-9ce3-affcaeab749a"
"dbd8e31c-9c67-43ac-9688-4fc16be0584b","1678-05_101","7062cc1e-2f63-4ea5-8065-20cb2144bd7b"
"776fae26-d49f-4ee9-b44a-3212b3577f09","1678-05_106","bd8f8e31-f209-4f1e-b0fb-312e2d6c2cf4"
